AveragePrice,С2,С3,type,year,region,С1,Total Volume,Date
4.44,434591,19112.1,диетическое,2020,Владимирская область,44741.4,642682,2020-12-20 00:00:00
4.6,399852,24291.2,диетическое,2020,Владимирская область,44400.3,619509,2020-12-13 00:00:00
4.16,453586,25760.5,диетическое,2020,Владимирская область,51129.3,649141,2020-12-06 00:00:00
4.64,379156,20147.5,диетическое,2020,Владимирская область,41028.2,545800,2020-11-29 00:00:00
4.48,386138,23343.5,диетическое,2020,Владимирская область,40867.8,572020,2020-11-22 00:00:00
4.16,503470,37990.3,диетическое,2020,Владимирская область,47109.8,718330,2020-11-15 00:00:00
4.2,576513,51035,диетическое,2020,Владимирская область,58579.3,830967,2020-11-08 00:00:00
4.48,473819,58615.8,диетическое,2020,Владимирская область,51860.1,742221,2020-11-01 00:00:00
4.76,397911,49085.7,диетическое,2020,Владимирская область,53766.2,656892,2020-10-25 00:00:00
3.96,745385,49171.3,диетическое,2020,Владимирская область,59121.6,1.0056e+06,2020-10-18 00:00:00
4.96,392009,58490.1,диетическое,2020,Владимирская область,34707,653560,2020-10-11 00:00:00
5.12,407610,42257.7,диетическое,2020,Владимирская область,35342.3,657444,2020-10-04 00:00:00
4.76,451061,59018.6,диетическое,2020,Владимирская область,34309.1,696282,2020-09-27 00:00:00
4.68,450283,45336.1,диетическое,2020,Владимирская область,39619.9,709269,2020-09-20 00:00:00
4.36,675524,42270.5,диетическое,2020,Владимирская область,55699.2,924994,2020-09-13 00:00:00
4.72,522568,68180.4,диетическое,2020,Владимирская область,63903.7,823623,2020-09-06 00:00:00
4.96,458207,42754.3,диетическое,2020,Владимирская область,48455.2,734721,2020-08-30 00:00:00
4.64,499100,47216.2,диетическое,2020,Владимирская область,59242,783935,2020-08-23 00:00:00
4.56,597185,43102.6,диетическое,2020,Владимирская область,86492,882755,2020-08-16 00:00:00
4.64,557364,42933.9,диетическое,2020,Владимирская область,56362.8,821523,2020-08-09 00:00:00
4.68,535167,44749.6,диетическое,2020,Владимирская область,53957.6,800603,2020-08-02 00:00:00
4.8,496509,45010.8,диетическое,2020,Владимирская область,52746.4,772926,2020-07-26 00:00:00
4.72,496206,50319.8,диетическое,2020,Владимирская область,52954.9,800194,2020-07-19 00:00:00
4.4,547537,50679,диетическое,2020,Владимирская область,58828,850932,2020-07-12 00:00:00
4.64,567641,56044.5,диетическое,2020,Владимирская область,66504.7,896299,2020-07-05 00:00:00
4.6,534535,51109.8,диетическое,2020,Владимирская область,65051.9,862262,2020-06-28 00:00:00
4.64,527866,51952.7,диетическое,2020,Владимирская область,58398.8,862841,2020-06-21 00:00:00
4.36,593500,48344.9,диетическое,2020,Владимирская область,64005.2,955047,2020-06-14 00:00:00
5.04,462951,43720.9,диетическое,2020,Владимирская область,62585.4,794310,2020-06-07 00:00:00
4.76,617814,45832.8,диетическое,2020,Владимирская область,67744.8,949177,2020-05-31 00:00:00
4.72,560740,49808.5,диетическое,2020,Владимирская область,63610.1,908662,2020-05-24 00:00:00
5.08,455167,44841,диетическое,2020,Владимирская область,63515.1,790854,2020-05-17 00:00:00
5.04,507104,44390.5,диетическое,2020,Владимирская область,79192.1,855206,2020-05-10 00:00:00
4.68,536710,77537.4,диетическое,2020,Владимирская область,73038.5,896972,2020-05-03 00:00:00
5.16,431533,39942.6,диетическое,2020,Владимирская область,58013.8,747841,2020-04-26 00:00:00
5.12,427623,42125.3,диетическое,2020,Владимирская область,67486.8,762863,2020-04-19 00:00:00
4.6,523170,42270.8,диетическое,2020,Владимирская область,70796.7,837630,2020-04-12 00:00:00
5.16,401279,41867.1,диетическое,2020,Владимирская область,53579.2,688065,2020-04-05 00:00:00
5.0,398051,43759.7,диетическое,2020,Владимирская область,58098.2,663677,2020-03-29 00:00:00
4.4,524971,42381.4,диетическое,2020,Владимирская область,65159,808897,2020-03-22 00:00:00
4.96,395837,46596.2,диетическое,2020,Владимирская область,53400.1,693698,2020-03-15 00:00:00
5.04,367671,42267.9,диетическое,2020,Владимирская область,55284.8,657746,2020-03-08 00:00:00
4.64,498873,40241.7,диетическое,2020,Владимирская область,59039.8,770115,2020-03-01 00:00:00
4.44,445971,62611.6,диетическое,2020,Владимирская область,50501.1,749846,2020-02-22 00:00:00
5.0,361677,45900.1,диетическое,2020,Владимирская область,49751.7,637319,2020-02-15 00:00:00
4.36,554857,37437.3,диетическое,2020,Владимирская область,71703.5,844931,2020-02-08 00:00:00
4.24,666010,83652.5,диетическое,2020,Владимирская область,93166.5,1.00742e+06,2020-02-01 00:00:00
4.8,386399,39488.9,диетическое,2020,Владимирская область,49696.1,692934,2020-01-25 00:00:00
4.92,393360,40576.1,диетическое,2020,Владимирская область,49947.2,657741,2020-01-18 00:00:00
4.68,420838,42527,диетическое,2020,Владимирская область,51460.6,670232,2020-01-11 00:00:00
4.32,552906,39995,диетическое,2020,Владимирская область,53987.3,788025,2020-01-04 00:00:00
3.88,2971.94,5894.4,диетическое,2020,Воронежская область,30482.2,62909.7,2020-12-27 00:00:00
4.12,2546.09,7393.84,диетическое,2020,Воронежская область,25628.2,57504.1,2020-12-20 00:00:00
3.96,2985.73,6458.44,диетическое,2020,Воронежская область,27148.6,58461.1,2020-12-13 00:00:00
2.84,12526.5,4086.26,диетическое,2020,Воронежская область,35591,95295.3,2020-12-06 00:00:00
4.24,2789.67,6031.49,диетическое,2020,Воронежская область,24190,49069.1,2020-11-29 00:00:00
4.36,3255.97,6662.8,диетическое,2020,Воронежская область,25408.9,52875.6,2020-11-22 00:00:00
4.04,12085.7,6502.37,диетическое,2020,Воронежская область,24424.7,68648.2,2020-11-15 00:00:00
4.44,4651.88,6285.73,диетическое,2020,Воронежская область,31910.3,55847.8,2020-11-08 00:00:00
4.56,4359.52,6428.27,диетическое,2020,Воронежская область,30435,53585.5,2020-11-01 00:00:00
4.44,10089.8,6551.57,диетическое,2020,Воронежская область,29521.6,59874.4,2020-10-25 00:00:00
4.64,9069.38,6586.27,диетическое,2020,Воронежская область,29614.2,54191.1,2020-10-18 00:00:00
3.76,33415.9,7604.48,диетическое,2020,Воронежская область,26114.2,80904.2,2020-10-11 00:00:00
4.48,10821.9,7551.63,диетическое,2020,Воронежская область,35154.4,59496.3,2020-10-04 00:00:00
3.96,5754.04,3663.3,диетическое,2020,Воронежская область,47007.3,64187.8,2020-09-27 00:00:00
4.12,21592.1,6640.07,диетическое,2020,Воронежская область,34826.9,73952.9,2020-09-20 00:00:00
4.32,4393.9,6593.46,диетическое,2020,Воронежская область,45738.8,64208.8,2020-09-13 00:00:00
4.64,5402.17,7991.75,диетическое,2020,Воронежская область,44134.7,64464.6,2020-09-06 00:00:00
4.76,5809.92,7922.58,диетическое,2020,Воронежская область,40926.8,60099.8,2020-08-30 00:00:00
4.2,14861.3,4433.12,диетическое,2020,Воронежская область,44059.2,70773.8,2020-08-23 00:00:00
4.48,5258.21,6457.21,диетическое,2020,Воронежская область,46189.3,64001.6,2020-08-16 00:00:00
4.4,5034,3931.19,диетическое,2020,Воронежская область,44739.5,61287,2020-08-09 00:00:00
4.28,5140.89,5435.36,диетическое,2020,Воронежская область,51151.3,67763.9,2020-08-02 00:00:00
4.28,4856.27,5479.57,диетическое,2020,Воронежская область,50978.4,67826.1,2020-07-26 00:00:00
4.36,5300.3,5565.17,диетическое,2020,Воронежская область,45921.6,63958,2020-07-19 00:00:00
4.2,5802.65,7474.4,диетическое,2020,Воронежская область,51828.8,74677.7,2020-07-12 00:00:00
4.6,8022.13,8434.98,диетическое,2020,Воронежская область,61949.7,85044.4,2020-07-05 00:00:00
4.16,6573.26,3974.75,диетическое,2020,Воронежская область,59111.3,75280.4,2020-06-28 00:00:00
4.24,15444.7,5875.85,диетическое,2020,Воронежская область,52790.2,81397.1,2020-06-21 00:00:00
3.96,17880.4,3135.99,диетическое,2020,Воронежская область,58791.2,87607.7,2020-06-14 00:00:00
4.48,7237.55,6655.69,диетическое,2020,Воронежская область,61245.5,80751.3,2020-06-07 00:00:00
3.88,7421.36,4028.3,диетическое,2020,Воронежская область,57373.6,76689.4,2020-05-31 00:00:00
4.12,14839.3,6037.23,диетическое,2020,Воронежская область,54825.9,83209.8,2020-05-24 00:00:00
3.84,7393.99,2919.87,диетическое,2020,Воронежская область,61319.7,77987.5,2020-05-17 00:00:00
4.24,15896.5,7891.16,диетическое,2020,Воронежская область,62505.3,95788.5,2020-05-10 00:00:00
4.0,7942.34,4289.72,диетическое,2020,Воронежская область,66880.1,85467,2020-05-03 00:00:00
3.84,7985.48,3401.65,диетическое,2020,Воронежская область,69544.6,88111.2,2020-04-26 00:00:00
3.96,21630.9,3260.22,диетическое,2020,Воронежская область,56843.6,89695,2020-04-19 00:00:00
4.76,8506.36,7523.01,диетическое,2020,Воронежская область,44469.2,66246.3,2020-04-12 00:00:00
4.36,9060.49,3790.38,диетическое,2020,Воронежская область,57339.8,76704.5,2020-04-05 00:00:00
3.92,7119.52,3101.98,диетическое,2020,Воронежская область,59532.9,74544,2020-03-29 00:00:00
4.68,6589.77,7290.24,диетическое,2020,Воронежская область,44227.3,61419.1,2020-03-22 00:00:00
4.0,7018.29,2981.8,диетическое,2020,Воронежская область,51472.3,65918.3,2020-03-15 00:00:00
4.56,7206.22,7403.75,диетическое,2020,Воронежская область,45879.8,65350.2,2020-03-08 00:00:00
4.24,23738.6,3491.83,диетическое,2020,Воронежская область,40578,75046.4,2020-03-01 00:00:00
3.96,16374.7,2122.09,диетическое,2020,Воронежская область,50872,76836.1,2020-02-22 00:00:00
4.56,7840.31,6492.94,диетическое,2020,Воронежская область,41547.9,61222,2020-02-15 00:00:00
4.28,9647.24,3047,диетическое,2020,Воронежская область,54229.3,69970.8,2020-02-08 00:00:00
3.64,36532.3,2904.77,диетическое,2020,Воронежская область,67496.3,113578,2020-02-01 00:00:00
4.12,7555.95,2061.16,диетическое,2020,Воронежская область,51922.1,66069.2,2020-01-25 00:00:00
4.32,6342.37,2257.23,диетическое,2020,Воронежская область,50354.9,62870.5,2020-01-18 00:00:00
4.72,10997.5,3321.89,диетическое,2020,Воронежская область,38112.3,57355.5,2020-01-11 00:00:00
4.04,24964.2,2752.35,диетическое,2020,Воронежская область,44562.1,80034.3,2020-01-04 00:00:00
4.52,346965,13952.6,диетическое,2020,Ивановская область,3886.27,450816,2020-12-27 00:00:00
4.28,390101,5887.72,диетическое,2020,Ивановская область,4912.37,489803,2020-12-20 00:00:00
4.04,455362,219.4,диетическое,2020,Ивановская область,4641.02,549946,2020-12-13 00:00:00
4.08,407520,142.99,диетическое,2020,Ивановская область,5126.32,488679,2020-12-06 00:00:00
4.76,272719,105.86,диетическое,2020,Ивановская область,3609.25,350560,2020-11-29 00:00:00
4.28,383420,233.74,диетическое,2020,Ивановская область,4457.62,466760,2020-11-22 00:00:00
4.2,420937,139.71,диетическое,2020,Ивановская область,5310.32,513739,2020-11-15 00:00:00
4.16,542881,231.74,диетическое,2020,Ивановская область,5304.09,641760,2020-11-08 00:00:00
4.24,449532,170.29,диетическое,2020,Ивановская область,4886.14,553097,2020-11-01 00:00:00
4.08,430726,191.31,диетическое,2020,Ивановская область,4005.39,534249,2020-10-25 00:00:00
3.76,627504,332.87,диетическое,2020,Ивановская область,6409.86,725296,2020-10-18 00:00:00
4.56,378296,355.03,диетическое,2020,Ивановская область,5145.86,485707,2020-10-11 00:00:00
4.28,427359,277.56,диетическое,2020,Ивановская область,5804.31,536479,2020-10-04 00:00:00
4.28,463080,289.49,диетическое,2020,Ивановская область,5210.84,553307,2020-09-27 00:00:00
4.6,398673,418.46,диетическое,2020,Ивановская область,4376.74,498640,2020-09-20 00:00:00
4.12,560792,353.77,диетическое,2020,Ивановская область,5422.29,655683,2020-09-13 00:00:00
4.44,477868,496.62,диетическое,2020,Ивановская область,4237.44,577775,2020-09-06 00:00:00
4.52,438503,554.04,диетическое,2020,Ивановская область,4177.03,526665,2020-08-30 00:00:00
4.28,488292,608.61,диетическое,2020,Ивановская область,4744.11,589471,2020-08-23 00:00:00
4.6,464476,748.65,диетическое,2020,Ивановская область,4460.85,565795,2020-08-16 00:00:00
4.28,590998,827.06,диетическое,2020,Ивановская область,4173.23,690517,2020-08-09 00:00:00
4.68,468592,1451.95,диетическое,2020,Ивановская область,4442.2,571994,2020-08-02 00:00:00
5.12,393282,1957.86,диетическое,2020,Ивановская область,4299.27,500234,2020-07-26 00:00:00
4.72,477630,5071.77,диетическое,2020,Ивановская область,4720.08,597168,2020-07-19 00:00:00
4.56,471640,9361.55,диетическое,2020,Ивановская область,5332.07,634516,2020-07-12 00:00:00
5.08,418251,11053.8,диетическое,2020,Ивановская область,4743.46,582910,2020-07-05 00:00:00
5.0,403231,9120.3,диетическое,2020,Ивановская область,4688.28,560495,2020-06-28 00:00:00
4.96,404909,8899.2,диетическое,2020,Ивановская область,3582.45,543505,2020-06-21 00:00:00
4.32,521255,6545.42,диетическое,2020,Ивановская область,5104.19,684346,2020-06-14 00:00:00
5.0,421007,93.05,диетическое,2020,Ивановская область,4034.11,562543,2020-06-07 00:00:00
5.04,418105,108.6,диетическое,2020,Ивановская область,4128.35,565161,2020-05-31 00:00:00
4.56,490486,276.82,диетическое,2020,Ивановская область,4601.66,633522,2020-05-24 00:00:00
5.04,380514,162.66,диетическое,2020,Ивановская область,4285.68,534489,2020-05-17 00:00:00
4.56,476828,131.47,диетическое,2020,Ивановская область,4601.5,625558,2020-05-10 00:00:00
4.68,429586,239.76,диетическое,2020,Ивановская область,3828.64,552369,2020-05-03 00:00:00
5.12,352464,131.46,диетическое,2020,Ивановская область,3915.3,465911,2020-04-26 00:00:00
4.6,384880,162.91,диетическое,2020,Ивановская область,4013.71,504620,2020-04-19 00:00:00
5.04,294164,106.09,диетическое,2020,Ивановская область,3575.89,408485,2020-04-12 00:00:00
5.08,330425,99.92,диетическое,2020,Ивановская область,3657.54,449818,2020-04-05 00:00:00
4.76,339299,151.36,диетическое,2020,Ивановская область,3619.31,453631,2020-03-29 00:00:00
4.72,344397,155.94,диетическое,2020,Ивановская область,5956.18,453173,2020-03-22 00:00:00
5.0,308997,111.59,диетическое,2020,Ивановская область,6085.75,417750,2020-03-15 00:00:00
4.68,290513,78.96,диетическое,2020,Ивановская область,3425.53,408404,2020-03-08 00:00:00
4.44,383574,192.98,диетическое,2020,Ивановская область,4106.42,485736,2020-03-01 00:00:00
4.92,251341,142.33,диетическое,2020,Ивановская область,3232.68,355432,2020-02-22 00:00:00
4.8,281106,143.41,диетическое,2020,Ивановская область,3794.97,399884,2020-02-15 00:00:00
4.16,495732,383.73,диетическое,2020,Ивановская область,7653.19,609985,2020-02-08 00:00:00
4.88,373452,272.81,диетическое,2020,Ивановская область,6082.88,490022,2020-02-01 00:00:00
4.68,288095,45.98,диетическое,2020,Ивановская область,4730.77,409344,2020-01-25 00:00:00
4.92,287779,132.53,диетическое,2020,Ивановская область,4383.76,401331,2020-01-18 00:00:00
4.4,320577,121.81,диетическое,2020,Ивановская область,5548.11,437772,2020-01-11 00:00:00
4.08,396752,128.82,диетическое,2020,Ивановская область,7193.87,491738,2020-01-04 00:00:00
5.4,39542.8,85.76,диетическое,2020,Калужская область,1367.81,96233.1,2020-12-27 00:00:00
5.48,38430.7,106.67,диетическое,2020,Калужская область,1164.92,90867.5,2020-12-20 00:00:00
5.4,40783.2,66.45,диетическое,2020,Калужская область,1421.12,98473.2,2020-12-13 00:00:00
4.92,58197.3,167.12,диетическое,2020,Калужская область,1737.71,108458,2020-12-06 00:00:00
5.56,35682.7,113.49,диетическое,2020,Калужская область,1514.69,79973.1,2020-11-29 00:00:00
5.6,38780.7,107.53,диетическое,2020,Калужская область,1711.77,90242.3,2020-11-22 00:00:00
5.44,41457.1,107.48,диетическое,2020,Калужская область,1803.78,99703.7,2020-11-15 00:00:00
5.2,49507.2,55,диетическое,2020,Калужская область,1288.83,111039,2020-11-08 00:00:00
4.92,61874.9,186.4,диетическое,2020,Калужская область,2181.17,118541,2020-11-01 00:00:00
5.44,36645.9,79.64,диетическое,2020,Калужская область,1545.57,99554.6,2020-10-25 00:00:00
5.16,40701.7,58.28,диетическое,2020,Калужская область,1536.35,106084,2020-10-18 00:00:00
5.2,50862,96.18,диетическое,2020,Калужская область,2170.49,109154,2020-10-11 00:00:00
5.32,38353.3,101.43,диетическое,2020,Калужская область,3020.03,98900.5,2020-10-04 00:00:00
5.24,60292.8,106.47,диетическое,2020,Калужская область,1908.16,90745.7,2020-09-27 00:00:00
6.16,39831.7,88.61,диетическое,2020,Калужская область,1445.25,60624.5,2020-09-20 00:00:00
6.36,48468.7,134.33,диетическое,2020,Калужская область,1572.71,73043.2,2020-09-13 00:00:00
6.24,49388.5,173.32,диетическое,2020,Калужская область,1471.69,76139.6,2020-09-06 00:00:00
5.52,61600.6,241.67,диетическое,2020,Калужская область,1406.11,83731.4,2020-08-30 00:00:00
5.96,43655.3,170.47,диетическое,2020,Калужская область,1287.09,68953.3,2020-08-23 00:00:00
6.0,45937.6,258,диетическое,2020,Калужская область,1230.78,69798.1,2020-08-16 00:00:00
5.88,56289.3,349.19,диетическое,2020,Калужская область,1139.74,81830.1,2020-08-09 00:00:00
5.88,44620.7,471.55,диетическое,2020,Калужская область,1447.81,78162.9,2020-08-02 00:00:00
5.56,45615.5,741.77,диетическое,2020,Калужская область,1679.28,91825.1,2020-07-26 00:00:00
5.44,54492.8,2205.14,диетическое,2020,Калужская область,1165.75,128846,2020-07-19 00:00:00
5.8,47294.7,4714.73,диетическое,2020,Калужская область,1119.38,127351,2020-07-12 00:00:00
5.88,56925.5,6707.85,диетическое,2020,Калужская область,1503.1,140414,2020-07-05 00:00:00
5.44,51801.7,5397.32,диетическое,2020,Калужская область,1235.69,137247,2020-06-28 00:00:00
